#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Host organism	Identification method participant A	Identification method participant B
uniprot:P08908	uniprot:Q8BMP4	uniprot:Q6LAE7	uniprot:Q99981|uniprot:B5BUJ1|uniprot:Q99527|uniprot:Q6FHL1|uniprot:Q13631|uniprot:A8K6C5|uniprot:O43494|uniprot:O00143|uniprot:Q96F42	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Akama et al. 2013	pubmed:23300088	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730938	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:P31016	uniprot:Q80Y24	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q7Z3G6|uniprot:Q0VF44	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hida et al. 2011	pubmed:21324980	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730939	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:P31016	uniprot:Q80Y24	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q7Z3G6|uniprot:Q0VF44	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hida et al. 2011	pubmed:21324980	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730940	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:P31016	uniprot:Q80Y24	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q7Z3G6|uniprot:Q0VF44	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hida et al. 2011	pubmed:21324980	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730941	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:Q91ZD4	uniprot:P31016	uniprot:D3DVE9|uniprot:Q5T212|uniprot:Q9ULK5	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Nagaoka et al. 2015	pubmed:26257100	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730942	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:P31016	uniprot:Q91ZD4	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:D3DVE9|uniprot:Q5T212|uniprot:Q9ULK5	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Nagaoka et al. 2015	pubmed:26257100	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730943	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:Q3UH99	uniprot:P42261	uniprot:Q4PL63|uniprot:Q6ZSJ9|uniprot:B3KXV5	uniprot:E7ESV8|uniprot:D3DQI4|uniprot:B7Z3F6|uniprot:Q2NKM6|uniprot:B7Z2S0|uniprot:B7Z2W8|uniprot:B7Z9G9|uniprot:P42261	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Klaassen et al. 2016	pubmed:26931375	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730944	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q3UH99	uniprot:P42262	uniprot:Q4PL63|uniprot:Q6ZSJ9|uniprot:B3KXV5	uniprot:I6L997|uniprot:Q96FP6|uniprot:P42262|uniprot:A8MT92	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Klaassen et al. 2016	pubmed:26931375	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730945	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q3UH99	uniprot:P42263	uniprot:Q4PL63|uniprot:Q6ZSJ9|uniprot:B3KXV5	uniprot:Q9P0H1|uniprot:D3DTF1|uniprot:Q9HDA2|uniprot:Q9HDA1|uniprot:Q9HDA0|uniprot:Q4VXD6|uniprot:Q4VXD5|uniprot:P42263	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Klaassen et al. 2016	pubmed:26931375	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730946	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q3UH99	uniprot:Q62108	uniprot:Q4PL63|uniprot:Q6ZSJ9|uniprot:B3KXV5	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0018"(two hybrid)	Klaassen et al. 2016	pubmed:26931375	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730947	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:P97836	uniprot:Q03114	uniprot:B7Z2I2|uniprot:B7WPA1|uniprot:A8MWN8|uniprot:B7Z2H2|uniprot:B7Z9Y4|uniprot:O14489|uniprot:P78335|uniprot:O14490|uniprot:B2RMU8	uniprot:Q00535|uniprot:A1XKG3	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Roselli et al. 2011	pubmed:21829588	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730948	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat frontal cortical synaptosomes	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q76M68	uniprot:P31016	uniprot:Q8TB43|uniprot:A6NIF2|uniprot:Q9UPP2|uniprot:A6NKV9	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0096"(pull down)	Inaba et al. 2004	pubmed:15189337	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730949	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat forebrain PSD fration	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0113"(western blot)
uniprot:Q76M68	uniprot:Q62696	uniprot:Q8TB43|uniprot:A6NIF2|uniprot:Q9UPP2|uniprot:A6NKV9	uniprot:B4DGZ8|uniprot:B9EIQ5|uniprot:E7EWL7|uniprot:D3DXB9|uniprot:D3DXB8|uniprot:Q12958|uniprot:Q12959|uniprot:E9PG21|uniprot:B7ZMM0|uniprot:A5YKK7|uniprot:B4DGU1	psi-mi:"MI:0096"(pull down)	Inaba et al. 2004	pubmed:15189337	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730950	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat forebrain PSD fration	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0113"(western blot)
uniprot:Q76M68	uniprot:Q9Z214	uniprot:Q8TB43|uniprot:A6NIF2|uniprot:Q9UPP2|uniprot:A6NKV9	uniprot:Q86YM5|uniprot:Q86YM7|uniprot:O96003|uniprot:B2R688	psi-mi:"MI:0096"(pull down)	Inaba et al. 2004	pubmed:15189337	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730951	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat forebrain PSD fration	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0113"(western blot)
uniprot:P61810	uniprot:P31016	uniprot:E1P664|uniprot:Q15078|uniprot:Q5U0G3	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Morabito et al. 2004	pubmed:14749431	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730952	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat synaptosome	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P78352	uniprot:P22459	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941	uniprot:P22459	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Morabito et al. 2004	pubmed:14749431	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730953	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	COS7	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprot:Q00960	uniprot:P31016	uniprot:Q9UM56|uniprot:Q12919|uniprot:Q13220|uniprot:Q14CU4|uniprot:Q13225|uniprot:Q13224	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Morabito et al. 2004	pubmed:14749431	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730954	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat synaptosome	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P78352	uniprot:P78352	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Morabito et al. 2004	pubmed:14749431	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0898"(putative self)	PSINDB	730955	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:P97836	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:B7Z2I2|uniprot:B7WPA1|uniprot:A8MWN8|uniprot:B7Z2H2|uniprot:B7Z9Y4|uniprot:O14489|uniprot:P78335|uniprot:O14490|uniprot:B2RMU8	psi-mi:"MI:0114"(x-ray crystallography)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730956	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:O88917	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:O94910|uniprot:Q9BU07|uniprot:Q96IE7|uniprot:Q9HAR3	psi-mi:"MI:0114"(x-ray crystallography)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730957	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:Q8K1Q4	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:O60299|uniprot:Q8IXX8|uniprot:D3DVX6|uniprot:A2A2Q7	psi-mi:"MI:0114"(x-ray crystallography)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730958	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:P30680	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:Q4VBP0|uniprot:B2R9P7|uniprot:Q96TF2|uniprot:Q9BWH1|uniprot:P30874|uniprot:A8K3Y0|uniprot:Q96GE0	psi-mi:"MI:0114"(x-ray crystallography)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730959	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:P97836	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:B7Z2I2|uniprot:B7WPA1|uniprot:A8MWN8|uniprot:B7Z2H2|uniprot:B7Z9Y4|uniprot:O14489|uniprot:P78335|uniprot:O14490|uniprot:B2RMU8	psi-mi:"MI:0065"(isothermal titration calorimetry)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730960	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:O88917	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:O94910|uniprot:Q9BU07|uniprot:Q96IE7|uniprot:Q9HAR3	psi-mi:"MI:0065"(isothermal titration calorimetry)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730961	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:Q8K1Q4	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:O60299|uniprot:Q8IXX8|uniprot:D3DVX6|uniprot:A2A2Q7	psi-mi:"MI:0065"(isothermal titration calorimetry)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730962	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9JLU4	uniprot:P30680	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:Q4VBP0|uniprot:B2R9P7|uniprot:Q96TF2|uniprot:Q9BWH1|uniprot:P30874|uniprot:A8K3Y0|uniprot:Q96GE0	psi-mi:"MI:0065"(isothermal titration calorimetry)	Ponna et al. 2018	pubmed:29473168	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730963	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P20236	uniprot:Q03555	uniprot:P34903|uniprot:Q8TAF9	uniprot:Q9P2G2|uniprot:Q9H4E9|uniprot:Q9NQX3|uniprot:Q96KU4	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Larson et al. 2020	pubmed:32169968	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730964	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P20236	uniprot:Q9DCD6	uniprot:P34903|uniprot:Q8TAF9	uniprot:O95166	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Larson et al. 2020	pubmed:32169968	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730965	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	HEK293	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:D3YVF0	uniprot:P12367	uniprot:P24588|uniprot:A2RRB8	uniprot:Q16823|uniprot:Q9BUB1|uniprot:P13861	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Sanderson et al. 2012	pubmed:23100425	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730966	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse hippocampus	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:D3YVF0	uniprot:P12367	uniprot:P24588|uniprot:A2RRB8	uniprot:Q16823|uniprot:Q9BUB1|uniprot:P13861	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Sanderson et al. 2012	pubmed:23100425	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730967	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse hippocampus	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q4ACU6	uniprot:Q6PFD5	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:Q9H3X7|uniprot:Q5TDD5|uniprot:O95886	psi-mi:"MI:0065"(isothermal titration calorimetry)	Zeng et al. 2016	pubmed:27185935	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730968	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q4ACU6	uniprot:Q6PFD5	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:Q9H3X7|uniprot:Q5TDD5|uniprot:O95886	psi-mi:"MI:0065"(isothermal titration calorimetry)	Zeng et al. 2016	pubmed:27185935	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730969	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q4ACU6	uniprot:Q6PFD5	uniprot:Q9BYB0|uniprot:Q8TET3|uniprot:D7UT47	uniprot:Q9H3X7|uniprot:Q5TDD5|uniprot:O95886	psi-mi:"MI:0065"(isothermal titration calorimetry)	Zeng et al. 2016	pubmed:27185935	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730970	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9R1M7	uniprot:P84092	uniprot:Q8TCU5|uniprot:Q8TF29|uniprot:Q5VTR3|uniprot:B3DLF9|uniprot:Q8WXI6	uniprot:P20172|uniprot:P53679|uniprot:Q96CW1|uniprot:D3DNT1|uniprot:A6NE12	psi-mi:"MI:0096"(pull down)	Chowdhury et al. 2013	pubmed:23447623	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730971	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P17427	uniprot:A2AIR4	uniprot:O75403|uniprot:O94973|uniprot:Q53ET1|uniprot:Q96SI8	uniprot:P20172|uniprot:P53679|uniprot:Q96CW1|uniprot:D3DNT1|uniprot:A6NE12	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Chowdhury et al. 2013	pubmed:23447623	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730972	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse brain membrane extract	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9R1M7	uniprot:P17427	uniprot:Q8TCU5|uniprot:Q8TF29|uniprot:Q5VTR3|uniprot:B3DLF9|uniprot:Q8WXI6	uniprot:O75403|uniprot:O94973|uniprot:Q53ET1|uniprot:Q96SI8	psi-mi:"MI:0096"(pull down)	Chowdhury et al. 2013	pubmed:23447623	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730973	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9R1M7	uniprot:P84091	uniprot:Q8TCU5|uniprot:Q8TF29|uniprot:Q5VTR3|uniprot:B3DLF9|uniprot:Q8WXI6	uniprot:P20172|uniprot:P53679|uniprot:Q96CW1|uniprot:D3DNT1|uniprot:A6NE12	psi-mi:"MI:0096"(pull down)	Chowdhury et al. 2013	pubmed:23447623	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730974	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse brain lysate	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:O35430	uniprot:P97924-6	uniprot:Q5VYR8|uniprot:O14914|uniprot:Q02410|uniprot:O60570	uniprot:P20172|uniprot:P53679|uniprot:Q96CW1|uniprot:D3DNT1|uniprot:A6NE12	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Jones et al. 2014	pubmed:25378388	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730975	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	rat cerebral cortex	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P19491	uniprot:A0A0G2JUG7	uniprot:I6L997|uniprot:Q96FP6|uniprot:P42262|uniprot:A8MT92	uniprot:Q6DN90|uniprot:Q96D85|uniprot:A0A087WWK8|uniprot:O94863	psi-mi:"MI:0018"(two hybrid)	Scholz et al. 2010	pubmed:20547133	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730976	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:P19491	uniprot:A0A0G2JUG7	uniprot:I6L997|uniprot:Q96FP6|uniprot:P42262|uniprot:A8MT92	uniprot:Q6DN90|uniprot:Q96D85|uniprot:A0A087WWK8|uniprot:O94863	psi-mi:"MI:0018"(two hybrid)	Scholz et al. 2010	pubmed:20547133	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730977	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0078"(nucleotide sequence identification)
